영화제목,영화링크,평점,댓글
나를 차버린 스파이,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=167602&target=after,9,
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,2,배역선정도 너무 않좋고 스토리와 설정 진짜 최악이었습니다 정치같은건 모르겠고 졸다 나왔습니다 다큐도 아니고 진짜 재미없었어요 마지막 잠수함 전만 조금 재미있었네요
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,6,? 재밌게 봤는데 반응 왜그러지? 강철비 처음 본 사람인데 전 너무 좋았어요 믿고보는 정우성님 연기실력도 좋았구요! 긴장감도 돌고 결론이 잘 되어서 안심했어요 ㅋ 다만 아쉬운점은.. 유연석 배우님 너무 한국인같고 북한말투 어색함ㅋㅋㅋㅋ 영어발음도 어색ㅋㅋㅋ그리고 제가 이걸 좋게 본건 한국인이라서 일꺼임 내가 외국인이라거나.. 저기 출연한 외국배우였다면 좀 그랬을거임 미국대통령 너무 멍청하게 나옴 글고 어뢰 터졌다 사라지는 그래픽 어색함그 외의 모든 스토리와 연출 다 좋았다 생각합니다. 그리고 제발!!! 영화 볼때 기침 하지말고!!!! 팝콘은 조용히 쳐머급시다!! ㅈㄴ 팝콘을 주먹으로 쥐고 아작아작짭짭짭 단체로 하관에 모터 달았냐!!
#살아있다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189537&target=after,10,한정된 장소에서 벌어지는 좀비 이야기..스릴있게 잘봤습니다..평점테러 하지 맙시다좋은작품 놓칠뻔했네요..ㅠ
아담스 패밀리,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184357&target=after,8,
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,존나재미없음진짜 시간 개아까움 감독 때리고싶은 영화
타이타닉 2,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=80857&target=after,2,4567888445
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,2,엄청난쓰레작을만드셨네요 배우들이너무아깝네요
은하수를 여행하는 히치하이커를 위한 안내서,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=41130&target=after,10,n번을 봐도 재밌고 신선한 영화. 언제든 가볍게 틀어놓기 좋다.
#살아있다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189537&target=after,8,나름 괜찮습니다. 혹평받을 영화는 아닙니다. 안보신분들은 보세요. 추천합니다.
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,ㄹㅇ 1점도 아깝네. 좌파 영화 지겹다 진짜
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,2,정치적인 의도가 너무 다분하고 심지어 재미도 없음. 제발 이런 영화를 뭣도모르는 아이들 데리고 가서 보여주지 않길 바람.
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,9,솔직히 그렇게 까일정도는 아닌듯볼만해요!
야구소녀,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189633&target=after,10,기대없이 시청하는데 나도모르게 눈물을 흘렸네요
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,7,"한국 외교상황을 다시금 돌아보게 만드는 영화 의외 개그 코드가 잘스며들어있고, 배우들 연기도 나쁘지 않다."
감쪽같은 그녀,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=171752&target=after,10,이건 반칙이다. 우람이 너무 귀엽잖아...
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,10,
돈,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=163608&target=after,10,"믿고 보는 류준열, 유지태! 신인 감독치고 세밀한 연출, 워킹, 편집이 돋보였네요. 나름 재밌게 잘 봤습니다!~~"
밤쉘: 세상을 바꾼 폭탄선언,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=191143&target=after,10,박원순이 떠오르는... 세상엔 개 색히가 많다.
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,2,"코로나때문에 아무리 볼만한 영화가 없다지만 너무별로. 극단적인 시나리오에다가 우스꽝스럽고 정치편향적이다. 코로나때문인지 거의 실내촬영, 대화위주라 답답하기도 하고 초중반에는 너무 늘어지는 느낌. 평생동안 중간에 나갈까 생각했던 영화."
틴틴 : 유니콘호의 비밀,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=70995&target=after,10,7살 5살 아들과 집에서 보았는데 7살 아들이 다 끝나고 박수갈채를 보내네요^^ 정말 잘 보았습니다. 여름방학에 강추하는 영화예요~~~~
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,진짜 비추입니다 내시간 내돈표살돈으로 맛난 밥 사드세요 말로만 시간 떼우다끝에 잠수함씬빼면 어설픈 코미디 과한 비틀기가 다입니다 아무리 영화라도 인물묘사가 참 어이 없어 말이 안나옵니다 언제 끝나나 시간체크하다 끝났네요
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,2,머리털나고 첨 영화평이란걸 써본다..지지율 올리려 애쓴다. 재앙이 정은동무는 잘생긴 캐릭터에 미국 일본은 못생긴 캐릭터에 ㅎㅎ 조선 전체주의 사상에 북미회담 초대도 못 받은 주재에 재앙이 지가 회담성사시킨양 아주 가관이더만.. 무능력한 재앙이 팩트는 미국 북한에 개무시당하고는 영화는 현정권에 아부하느라 토나오는줄...
울프 콜,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189028&target=after,9,초반은 지루하나 중반부터 꿀잼
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,재밌었고 끝에감동도있고못보던잠수함신 신선하네요.
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,6,부담스러운 국뽕 주입과 필요 이상의 희화화가 아쉽지만 주제에는 공감한다. 우리의 소원은 평화.
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,"진짜 진짜 재미없네요 스토리 개연성은 개나줘버리고결말부분보고 진짜 한숨나왔어요 게다가 겁나게 지루합니다시간가는줄알고 봤네요정치성향 다 떠나서 이렇게 편협적인 영화는 처음봅니다 ㅋㅋ미국 대통령은 왜이렇게 눈치없고 먹을걸 밝히는 캐릭터로 나오고한국, 북한 대통령은 왜이렇게 멋있게 나온답니까? 어이가없어서 ㅋㅋㅋ"
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,2,"기대이하,,,,감동도 없고 웃음도 없는 영화입니다안보는거 추천,,,"
튼튼이의 모험,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=162423&target=after,10,하...이거뭐지? 그 어떤 개그프로보다 재미지다....신성한 코트를 짓밟으러 온 블랙타이거를 보면서 순간 슬램덩크가 떠올랐다...
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,이 영화를 보고 감동하셨다면 정치에 대해 1도 모르는 어린이 일겁니다.영화에 문재인대통령이 나온줄 알았어요 ㅋ이 영화를 보고 미CSI에 미대통령 모욕으로 고발하세요 ㅋ이정도면 문재인대통령과 김정은위원장 찬양영화입니다 ㅋ.
어쩌다 아스널,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189731&target=after,4,4스날 영원하라4rsenal Forever
비포 선라이즈,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=17773&target=after,10,와우 최고의 영화다...한 씬 한 씬 설레이는 그들의 눈빛..30이 넘은 나이에 보니까 오히려 20대초반에 봤던 느낌이랑 완전히 다르다 너무나 설레이고 사랑스럽다
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,2,재미없음진짜 지루하궁
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,4,한국 최대의우방 미국은 싸이코들러리. 주적 북괴의 오야붕은 함께하는전우. 뜬금없는 악당두목은 일본. 이게 공감이갑니까??
라이언 일병 구하기,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=18988&target=after,10,The greatest war moive ever...
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,2왜만듬? 이해불가하다
도둑들,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=78726&target=after,8,오락 영화로는 참 좋았다 다만 주 조연 배우분들의 이름이 컸던 탓인가 웨이홍의 역할이 너무 저조했다
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,10,
레볼루셔너리 로드,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=66584&target=after,8,
순애보,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=21686&target=after,8,한 시대  최고의 미인들은 어느 시대에 봐도 여전히 미인들이예요.
초행,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=162172&target=after,8,"나는 정확히 영화 속 수현이란 인물처럼, ~만큼 고장이 난듯.차 안 동시녹음할거면 자막 처리를 해보는 것도 나쁘지 않을듯. 안들림."
마녀 배달부 키키,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=18050&target=after,10,영화를 통해 지브리가 전달하려는 메세지가 시대를 관통하네요 몇OO이 지나도 현실에 지친 사람들에게 위로의 말을 건내주는 영화일듯해요
케빈에 대하여,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=86843&target=after,10,살아남아 ...현실의 지옥을 끝까지 느끼게 하는것그게 케빈이 엄마에게 하는 최고의 복수
어느 가족,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=172174&target=after,10,
검은 사제들,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=120157&target=after,8,"대부분 하는 말이지만 나또한 그렇게 생각하는데, 한국에서 잘 이용하지않았던 소재로 이런 영화를 만들었다는것에 박수를"
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,재미없음 보고나면기분상함
마리 앙투아네트,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=45477&target=after,10,넘넘 재밌어요ㅠ 굳
소년시절의 너,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=192066&target=after,10,배우들의 연기가 스크린에 꽉 차는 기분은 이런 기분.공장처럼 똑같이 찍어나오는 2020년 영화들 사이에서 큰 울림을 줬으니 10점 줘도 아깝지 않음
인사이드 아웃,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=115622&target=after,8,감정이란 자체로 이런 스토리를 만들수 있구나 하고 크게 놀랐었다
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,후속작이라 기대안했었는데 더 재밌었음.
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,2,하.. 이건 뭐 ㅠㅠ 잠수함이라도 봐서 다행이었네요..
악마를 보았다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=72408&target=after,10,역시 최고다~!!!!
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,6,즙만 안짰더라도...
"스탠바이, 웬디",https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=147388&target=after,7,세상은 함께라고 부르기에는 조금 차갑고 혼자라고 하기에는 살짝 따뜻하다.
"조제, 호랑이 그리고 물고기들",https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=38464&target=after,10,만약 츠네오가 도망치지 않았더라면 둘의 결말은 어땠을까
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,2,어줍짢고 말도 안되는 스토리 설정과 개연성... 계속 해서 정치 상황만 설명하는 장면들... 1편보다 재밌다길래 봤는데 ㅋㅋ 시간 낭비..
너의 췌장을 먹고 싶어,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=175318&target=after,10,보고나서 펑펑 울었습니다. ㅠㅠ
#살아있다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189537&target=after,2,어떻게 헬기가 바로 밑에 떠있었는데 듣지를 못하냐... 어떻게 고요하냐... 마지막 크레딧 뭐냐... 감독 누구냐... 뭐냐 갑자기 마누라타령은... 왜 그런거냐... 왜 배우를 힘들게하냐...
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,8,부산행을 넘 잼나게봐서 기대치가 높았는건지 모르겠지만 부산행보단 못하네요ㅜ
유열의 음악앨범,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=179158&target=after,10,잔잔하게 감성 자극하며 함께 하는 기분이 드네요~너무 좋네요~
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,8,기대안하고보면 볼만하다
#살아있다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189537&target=after,2,정말 못만든영화네요!
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,2,"지금 보고 있다. 너무 화나서 남긴다. 미국을 우스꽝스럽게 만들고 북한을 미화시키려고 만들었다는 말은 안 믿었는데, 보다보면 그 얘기가 맞다는 생각이 든다. 스토리가 대체 뭐야? 정우성 연기 너무 못하고 참나.... 어이 상실이다"
더 테러 라이브,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=99794&target=after,10,아니 대통령이 미친넘이 나왔으면 됐을걸대통령 미친넘
카우보이의 노래,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=178751&target=after,9,코엔형제 특유의 엉뚱함과 견고함. 어떤 가치보다 영화자체로 그려낸다. 여러가지 이야기를 옴니버스 형식으로 구성한다. 모든 줄거리가 흡입력이 있고 서부시대배경의 이야기에 빠져든다.
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,!!거? 일 없슴니다.나만 당할순 없디
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,10,그 차 사고싶네요..ㅋㅋㅋ #살아있다보단 나았습니다..
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,2,진짜 너무 지루함그리고 캐릭터가 너무 빈틈이 많네요다들 대화하는게 그냥 장난치는거 같음긴장감 제로허술함 그 자체
82년생 김지영,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=179482&target=after,10,
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,6,실망입니다ㆍㆍㆍㆍㆍ
메기,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=179398&target=after,10,
#살아있다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189537&target=after,1,음....저는 반도가 더 나았습니다...
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,10,
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,"그냥 노잼인듯 개연성1도안맞고 잠수함도 딱히,, 한국영화 티내는 영화인듯"
존 윅,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=123300&target=after,10,속이 시원시원하네요 시간이 정말 빨리갔어요 스릴있고 재미있어요
아이 엠 마더,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=168096&target=after,9,여자는 약하지만 엄마는 강하다. 다른 사람이 아닌 엄마가 악당을 죽이는 영화라 같은 엄마로서 스트래스 날려줘서 고마워요
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,최악의 부칸 홍보영화 괴시레기 영화
잭 리처: 네버 고 백,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=119412&target=after,5,액션은 계속 나오는데 특별한 게 없음.
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,9,우선 놀란것은 관람객 평가와 네티즌 평가의 괴리이고  두번째로 놀란것은 네티즌 평가내 편차가 엄청나다는 것.. 호불호가 큰 영화일 수록  '호'에 속하는 분들의 평점은 대체로 좋았던듯..  불호인 분들의 고의적 평점테러가 아니길 바라며 이만.
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,8,"딱 킬링타임용! 최악은 아님.요즘도 이런 한국식 신파가 있는 영화가 있네요,지겹고 오글거리고 짜증나는 한국식 신파만 없었다면 볼만한 것 같아요. 평점 6.5정도가 적당한거같은데, 지금 평이 안좋아서 8 줍니다."
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,2,욕나와서 그냥 나옴 살면서 본것중 가장 질떨어짐
그 여자 작사 그 남자 작곡,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=65769&target=after,10,너무 예쁜 힐링 영화
봉오동 전투,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=178526&target=after,10,마지막에 봉오동 골짜기에서 독립군들 나타날 때 진짜 소름 돋았어요ㅠ
극적인 하룻밤,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=115520&target=after,8,달달한 연애가 땡기게 만드는 영화
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,
알라딘,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=163788&target=after,10,자스민의 speechless가 인상깊다
#살아있다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189537&target=after,1,... 너무하네 이건 진짜
서치,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=172425&target=after,10,"영화를 핸드폰 화면, 노트북 화면, 티비 화면으로 진행하는 연출도 독특하고 21세기 추리스릴러란 이런 거구나라는 정의를 내려준 영화! 스토리도 탄탄하다 bb"
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,통닭당 아이들 보면 엄청 싫다고 하겠네요.평점 악의적으로 쓰는 인간들 통닭 냄새가 진하게 풍기네요.
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,너무 잘봤습니다~좋은영화 만드시느라 고생 많으셨습니다
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,10,
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,10,시간가는줄모를만큼 잼있게 봤어요!!마지막엔딩 감동이네여!!!
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,10,시간가는줄모를만큼 잼있게 봤어요!!마지막엔딩 감동이네여!!!
소년시절의 너,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=192066&target=after,9,"학업위주의 사회, 외면하는 친구와 어른들, 이유없는 따돌림, 가난과 억척스러움. 이 중 하나라도 경험한 사람이라면 묵직하게 와닿을 영화. 가해자와 피해자의 구분은 모호하다. 우리는 모두 가해자이자 피해자이니 바꾸려는 노력을 해야하지 않을까."
#살아있다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189537&target=after,1,시나리오 자체도 문제인거 같고 연출도 학생보다 못한 수준이고 어떻게 이런 감독의 작품이 영화관에 개봉이 될 수 있었는지 의구심이 드는 영화내요!!이 영화를 봐야 했던 한국 사람들이 불상하다는 생각이 듭니다!!유아인이나 박신혜같은 배우들이 왜 이런 작품을 선택했는지 이해가 안되는 군요!!
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,재밌게 잘 봤습니다. 1편만큼 재밌네요.
라이프 오브 파이,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=87309&target=after,10,"연출,연기,스토리,영상미 어느 하나 빠지는게 없는 작품..보고 난후 리뷰를 통해 이해하면 더 재미있는.."
아저씨,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=71509&target=after,10,몇번을 보고 있는데 감동이다ㅡ
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,8,알바 아니고 진짜 기대없이 봤는데 잼있음.개연성이 없지만 배우들 연기 좋고 지루하지 않고 약간의 긴장감도 굿굿
강철비,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=155665&target=after,3,갑자기 평점이 올랐누...
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,8,최근 우리나라가 놓인 처지가 비슷하고 일본이 독도를 침략하면 그래도 북한은 한국을도와서 일본을 공격하기를 바라는게 우리국민의 마음일거같다.미국대통령이나 북한최고 위원장이나 우리대통령들의 내면을 그럴만하게 연기해서 매우 몰입이되었고 마지막은 해피엔딩으로 독도앞에서잘마무리해서 자막이올라갈때도 모두 자리에 앉아 여운을 즐겼다
소년시절의 너,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=192066&target=after,10,와 그냥 올해 최고의 영화였구요 어디서 개봉해줬는지 모르겠지만 그냥 집 근처 문화센터 같은 작은 영화관에서 봤는데 너무 아쉬웠습니다. 이런 영화를 더 좋은 영상질로 봤으면 더 아름다웠을 텐데요 ㅜㅜ아주 감동적이고 배우들에 모두 반해버렸습니다.
소년시절의 너,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=192066&target=after,10,와 그냥 올해 최고의 영화였구요 어디서 개봉해줬는지 모르겠지만 그냥 집 근처 문화센터 같은 작은 영화관에서 봤는데 너무 아쉬웠습니다. 이런 영화를 더 좋은 영상질로 봤으면 더 아름다웠을 텐데요 ㅜㅜ아주 감동적이고 배우들에 모두 반해버렸습니다.
온워드: 단 하루의 기적,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=187351&target=after,10,
빅샤크3: 젤리몬스터 대소동,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=194799&target=after,10,내용을 떠나 아이 생애 첫 영화였어요... 너무 행복한 시간이었습니다....
무간도 3 - 종극무간,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=37488&target=after,10,
올드 가드,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=193173&target=after,1,영화가 재미있네요 외우
세인트 주디,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=168051&target=after,10,
밤쉘: 세상을 바꾼 폭탄선언,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=191143&target=after,10,이시대에 꼭 필요한 여성의 연대
가버나움,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=174830&target=after,10,펑펑울게 만든 인생영화
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,10,너무 재밌네요 ㅎㅎ 이번여름 꼭 한번 보시길 바랍니다 ㅎㅎ
포인트 브레이크,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=122473&target=after,4,영상미를 위해 스토리를 끼워맞추면 이런 영화가 나오는 군요.. 장르를 범죄액션 말고 다른 걸로 했어야..
서양골동양과자점 앤티크,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=69467&target=after,10,
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,"저는 재미있게 봤어요. 처음에는 이게 뭔 소리인가? 하고 봤는데 역사 상황, 정치 상황들을 알려주고 후반부에 가면 갈수록 배우들마다 연기하는 캐릭터가 살짝씩 있는 다양한 포인트와 감동을 주어서 재미있었네요! 너무 기대를 하면 재미없을 수도 있지만, 개인적인 생각들을 배제하고 본다면 괜찮다고 생각이 듭니다 :)"
#살아있다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189537&target=after,3,광고보고 스토리 괜찮네 했는데 역대급 똥작인거 같음. 마지막 헬기 나오는 연출은 어이가 없어서 똥씹음
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,2,지금이라도 늦지 않았습니다.보지 마세요
존 윅,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=123300&target=after,10,영화중에 총기 액션 원탑 존윅
